NTACode,GEOCODE,GEONAME,CDTACode,HVI_RANK,SURFACE_TEMP,MEDIAN_INCOME,GREENSPACE,PCT_HOUSEHOLDS_AC
BX0101,50101,Mott Haven-Port Morris,BX01,5,88.394,24474,18.81888649,84.3
BX0102,50102,Melrose,BX01,5,87.872,29306.5,23.40942908,84.3
BX0201,50201,Hunts Point,BX02,5,90.212,30057,10.15265396,84.3
BX0202,50202,Longwood,BX02,5,87.926,29117,19.4043333,84.3
BX0301,50301,Morrisania,BX03,5,87.494,26474,25.88081964,75.8
BX0302,50302,Claremont Village-Claremont (East),BX03,5,87.71,31144,21.85668274,75.8
BX0303,50303,Crotona Park East,BX03,5,88.538,34091,20.71564031,75.8
BX0401,50401,Concourse-Concourse Village,BX04,5,87.008,31509,15.38171266,84.6
BX0402,50402,Highbridge,BX04,4,84.704,32705,26.53987034,84.6
BX0403,50403,Mount Eden-Claremont (West),BX04,5,86.216,39685.5,15.99103567,83.375
BX0501,50501,University Heights (South)-Morris Heights,BX05,5,85.442,30531.5,25.92439863,79.7
BX0502,50502,Mount Hope,BX05,5,86.378,35600,13.8851655,79.7
BX0503,50503,Fordham Heights,BX05,5,86.27,40334,10.57887748,84.04285714
BX0601,50601,West Farms,BX06,5,87.44,26619,23.05923976,75.8
BX0602,50602,Tremont,BX06,5,87.764,25069,21.35853014,75.8
BX0603,50603,Belmont,BX06,5,86.99,30923,22.31162462,77.44285714
BX0701,50701,University Heights (North)-Fordham,BX07,4,85.298,38594,25.67256922,86.45555556
BX0702,50702,Bedford Park,BX07,3,83.93,38456,21.05766881,87.70909091
BX0703,50703,Norwood,BX07,3,84.218,36484,29.51079283,86.7625
BX0801,50801,Kingsbridge Heights-Van Cortlandt Village,BX08,3,83.948,44490.5,30.18819753,88.8
BX0802,50802,Kingsbridge-Marble Hill,BX08,4,87.296,52211.5,24.40916105,89.5
BX0803,50803,Riverdale-Spuyten Duyvil,BX08,1,82.688,93821,60.73964347,88.8
BX0901,50901,Soundview-Bruckner-Bronx River,BX09,4,87.08,33625,25.27610029,88.8
BX0902,50902,Soundview-Clason Point,BX09,4,87.278,50076.5,37.9499375,88.8
BX0903,50903,Castle Hill-Unionport,BX09,4,88.286,48326,23.2200994,88.8
BX0904,50904,Parkchester,BX09,4,87.872,57222,34.3970473,88.8
BX1001,51001,Westchester Square,BX10,5,89.69,48654,15.47107223,88.54
BX1002,51002,Throgs Neck-Schuylerville,BX10,2,87.098,77234.5,35.33388581,95.8
BX1003,51003,Pelham Bay-Country Club-City Island,BX10,2,86.432,77906,31.15858925,95.8
BX1004,51004,Co-op City,BX10,4,87.26,53302,34.94386817,95.8
BX1101,51101,Pelham Parkway-Van Nest,BX11,4,88.178,51509,19.65866236,87.5
BX1102,51102,Morris Park,BX11,3,88.862,70165.5,32.83343453,87.5
BX1103,51103,Pelham Gardens,BX11,4,89.276,84854,32.64849979,87.5
BX1104,51104,Allerton,BX11,4,87.71,41411,27.22436646,87.5
BX1201,51201,Williamsbridge-Olinville,BX12,5,87.224,49453.5,28.24478241,83.45
BX1202,51202,Eastchester-Edenwald-Baychester,BX12,5,88.898,72553,35.77793824,85.13333333
BX1203,51203,Wakefield-Woodlawn,BX12,5,88.394,69872.5,28.45405193,83
BK0101,470101,Greenpoint,BK01,2,85.91,93269,12.65411739,93.4
BK0102,470102,Williamsburg,BK01,2,85.244,114295,16.39781035,93.4
BK0103,470103,South Williamsburg,BK01,4,87.764,31836,20.93030901,92.08
BK0104,470104,East Williamsburg,BK01,4,88.16,55278,11.63369605,91.74375
BK0201,470201,Brooklyn Heights,BK02,1,82.328,158668.5,26.93968324,90.2
BK0202,470202,Downtown Brooklyn-DUMBO-Boerum Hill,BK02,2,83.84,131688,21.5679582,90.2
BK0203,470203,Fort Greene,BK02,2,84.488,102413,31.64464568,90.2
BK0204,470204,Clinton Hill,BK02,2,84.65,104318,30.35903069,90.2
