Borough,Year,FIPS County Code,NTA Code,NTA Name,Population,NTA2020
Bronx,2000,5,BX01,Claremont-Bathgate,28149,BX0302
Bronx,2000,5,BX03,Eastchester-Edenwald-Baychester,35422,BX1202
Bronx,2000,5,BX05,Bedford Park-Fordham North,55329,BX0702
Bronx,2000,5,BX06,Belmont,25967,BX0603
Bronx,2000,5,BX07,Bronxdale,34309,
Bronx,2000,5,BX08,West Farms-Bronx River,34542,BX0601
Bronx,2000,5,BX09,Soundview-Castle Hill-Clason Point-Harding Park,50753,BK0204
Bronx,2000,5,BX10,Pelham Bay-Country Club-City Island,27140,BX1003
Bronx,2000,5,BX13,Co-Op City,40676,BX1004
Bronx,2000,5,BX14,East Concourse-Concourse Village,58961,BX0401
Bronx,2000,5,BX17,East Tremont,39280,BX0602
Bronx,2000,5,BX22,North Riverdale-Fieldston-Riverdale,28013,BK0502
Bronx,2000,5,BX26,Highbridge,33844,BX0402
Bronx,2000,5,BX27,Hunts Point,25142,BX0201
Bronx,2000,5,BX28,Van Cortlandt Village,50607,BX0801
Bronx,2000,5,BX29,Spuyten Duyvil-Kingsbridge,29872,BX0801
Bronx,2000,5,BX30,Kingsbridge Heights,33286,BX0801
Bronx,2000,5,BX31,Allerton-Pelham Gardens,28510,BX1103
Bronx,2000,5,BX33,Longwood,23082,BX0202
Bronx,2000,5,BX34,Melrose South-Mott Haven North,33195,BX0102
Bronx,2000,5,BX35,Morrisania-Melrose,29797,BX0102
Bronx,2000,5,BX36,University Heights-Morris Heights,54335,BX0501
Bronx,2000,5,BX37,Van Nest-Morris Park-Westchester Square,27135,BX1001
Bronx,2000,5,BX39,Mott Haven-Port Morris,49030,BX0101
Bronx,2000,5,BX40,Fordham South,26880,BK0571
Bronx,2000,5,BX41,Mount Hope,52649,BX0502
Bronx,2000,5,BX43,Norwood,40817,BX0703
Bronx,2000,5,BX44,Williamsbridge-Olinville,57420,BX1201
Bronx,2000,5,BX46,Parkchester,29353,BX0904
Bronx,2000,5,BX49,Pelham Parkway,30006,BX1101
Bronx,2000,5,BX52,Schuylerville-Throgs Neck-Edgewater Park,43712,BK0602
Bronx,2000,5,BX55,Soundview-Bruckner,35137,BX0901
Bronx,2000,5,BX59,Westchester-Unionport,25768,
Bronx,2000,5,BX62,Woodlawn-Wakefield,43583,BX1203
Bronx,2000,5,BX63,West Concourse,39557,BK0301
Bronx,2000,5,BX75,Crotona Park East,18072,BX0303
Bronx,2000,5,BX98,Rikers Island,12780,QN0151
Bronx,2000,5,BX99,park-cemetery-etc-Bronx,540,BK0571
Brooklyn,2000,47,BK09,Brooklyn Heights-Cobble Hill,22548,BK0201
Brooklyn,2000,47,BK17,Sheepshead Bay-Gerritsen Beach-Manhattn Bch,64596,BK1503
Brooklyn,2000,47,BK19,Brighton Beach,35244,BK1303
Brooklyn,2000,47,BK21,Seagate-Coney Island,34267,BK5691
Brooklyn,2000,47,BK23,West Brighton,17370,BK0301
Brooklyn,2000,47,BK25,Homecrest,45679,BK1501
Brooklyn,2000,47,BK26,Gravesend,29257,BK1103
Brooklyn,2000,47,BK27,Bath Beach,28572,BK1102
Brooklyn,2000,47,BK28,Bensonhurst West,84640,BK1101
Brooklyn,2000,47,BK29,Bensonhurst East,58566,BK1101
Brooklyn,2000,47,BK30,Dyker Heights,39332,BK1002
Brooklyn,2000,47,BK31,Bay Ridge,80539,BK1001
Brooklyn,2000,47,BK32,Sunset Park West,52312,BK0702
Brooklyn,2000,47,BK33,Carroll Gardens-Columbia Street-Red Hook,38327,BX1103
Brooklyn,2000,47,BK34,Sunset Park East,66150,BK0702
Brooklyn,2000,47,BK35,Stuyvesant Heights,61827,BX0501
Brooklyn,2000,47,BK37,Park Slope-Gowanus,67263,BK0602
Brooklyn,2000,47,BK38,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill,30847,BK0204
Brooklyn,2000,47,BK40,Windsor Terrace,20779,BK0701
Brooklyn,2000,47,BK41,Kensington-Ocean Parkway,36937,BK1203
Brooklyn,2000,47,BK42,Flatbush,110875,BK1401
Brooklyn,2000,47,BK43,Midwood,55440,BK1403
Brooklyn,2000,47,BK44,Madison,39076,BK1502
Brooklyn,2000,47,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,42940,BK1802
Brooklyn,2000,47,BK46,Ocean Parkway South,20556,BK0571
Brooklyn,2000,47,BK50,Canarsie,85058,BK1803
Brooklyn,2000,47,BK58,Flatlands,66726,BK1801
Brooklyn,2000,47,BK60,Prospect Lefferts Gardens-Wingate,70300,BK0902
Brooklyn,2000,47,BK61,Crown Heights North,103462,BK0802
Brooklyn,2000,47,BK63,Crown Heights South,42370,BK0901
Brooklyn,2000,47,BK64,Prospect Heights,19655,BK0801
Brooklyn,2000,47,BK68,Fort Greene,28335,BK0203
Brooklyn,2000,47,BK69,Clinton Hill,33292,BK0204
Brooklyn,2000,47,BK72,Williamsburg,32269,BK0102
Brooklyn,2000,47,BK73,North Side-South Side,40130,BK0571
Brooklyn,2000,47,BK75,Bedford,59227,BK0301
Brooklyn,2000,47,BK76,Greenpoint,37821,BK0101
Brooklyn,2000,47,BK77,Bushwick North,56093,BX0291
Brooklyn,2000,47,BK78,Bushwick South,64617,BK0571
Brooklyn,2000,47,BK79,Ocean Hill,30067,BK1601
Brooklyn,2000,47,BK81,Brownsville,59099,BK1602
Brooklyn,2000,47,BK82,East New York,83275,BK0502
Brooklyn,2000,47,BK83,Cypress Hills-City Line,48961,BK0501
Brooklyn,2000,47,BK85,East New York (Pennsylvania Ave),27624,BK0104
Brooklyn,2000,47,BK88,Borough Park,101055,BK1202
Brooklyn,2000,47,BK90,East Williamsburg,31878,BK0104
Brooklyn,2000,47,BK91,East Flatbush-Farragut,56033,BK1702
Brooklyn,2000,47,BK93,Starrett City,14621,BK0504
Brooklyn,2000,47,BK95,Erasmus,31392,BK1701
Brooklyn,2000,47,BK96,Rugby-Remsen Village,57934,BX0302
Brooklyn,2000,47,BK99,park-cemetery-etc-Brooklyn,93,BK0201
Manhattan,2000,61,MN01,Marble Hill-Inwood,49087,MN1203
Manhattan,2000,61,MN03,Central Harlem North-Polo Grounds,70016,BK0502
Manhattan,2000,61,MN04,Hamilton Heights,50555,MN0903
Manhattan,2000,61,MN06,Manhattanville,24772,MN0902
Manhattan,2000,61,MN09,Morningside Heights,54208,MN0901
Manhattan,2000,61,MN11,Central Harlem South,39075,BK0571
Manhattan,2000,61,MN12,Upper West Side,136954,MN0701
Manhattan,2000,61,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,55839,BX1001
Manhattan,2000,61,MN14,Lincoln Square,55239,MN0701
Manhattan,2000,61,MN15,Clinton,40595,BK0204
Manhattan,2000,61,MN17,Midtown-Midtown South,25807,BK0571
Manhattan,2000,61,MN19,Turtle Bay-East Midtown,49737,MN0604
Manhattan,2000,61,MN20,Murray Hill-Kips Bay,48419,MN0603
Manhattan,2000,61,MN21,Gramercy,26184,MN0602
Manhattan,2000,61,MN22,East Village,41746,MN0303
Manhattan,2000,61,MN23,West Village,68483,MN0203
Manhattan,2000,61,MN24,SoHo-TriBeCa-Civic Center-Little Italy,36757,MN0102
Manhattan,2000,61,MN25,Battery Park City-Lower Manhattan,20088,BK0602
Manhattan,2000,61,MN27,Chinatown,52375,MN0301
Manhattan,2000,61,MN28,Lower East Side,72258,MN0302
Manhattan,2000,61,MN31,Lenox Hill-Roosevelt Island,76631,MN0801
Manhattan,2000,61,MN32,Yorkville,76768,MN0803
Manhattan,2000,61,MN33,East Harlem South,56899,MN1101
Manhattan,2000,61,MN34,East Harlem North,57148,MN1102
Manhattan,2000,61,MN35,Washington Heights North,73457,MN1202
Manhattan,2000,61,MN36,Washington Heights South,93671,MN1201
Manhattan,2000,61,MN40,Upper East Side-Carnegie Hill,63664,MN0802
Manhattan,2000,61,MN50,Stuyvesant Town-Cooper Village,19101,MN0601
Manhattan,2000,61,MN99,park-cemetery-etc-Manhattan,1662,BK0571
Queens,2000,81,QN01,South Jamaica,35181,QN1202
Queens,2000,81,QN02,Springfield Gardens North,25441,BK0601
Queens,2000,81,QN03,Springfield Gardens South-Brookville,18950,QN1306
Queens,2000,81,QN05,Rosedale,25502,QN1307
Queens,2000,81,QN06,Jamaica Estates-Holliswood,26061,QN0804
Queens,2000,81,QN07,Hollis,20747,QN1206
Queens,2000,81,QN08,St. Albans,50046,QN1205
Queens,2000,81,QN10,Breezy Point-Belle Harbor-Rockwy Prk-Broad Chnl,26711,QN1403
Queens,2000,81,QN12,Hammels-Arverne-Edgemere,31645,
Queens,2000,81,QN15,Far Rockaway-Bayswater,48344,QN1401
Queens,2000,81,QN17,Forest Hills,85046,QN0602
Queens,2000,81,QN18,Rego Park,29404,QN0601
Queens,2000,81,QN19,Glendale,31071,QN0503
Queens,2000,81,QN20,Ridgewood,69455,QN0502
Queens,2000,81,QN21,Middle Village,37629,QN0504
Queens,2000,81,QN22,Flushing,69362,QN0704
Queens,2000,81,QN23,College Point,21407,QN0701
Queens,2000,81,QN25,Corona,52082,QN0402
Queens,2000,81,QN26,North Corona,47156,QN0303
Queens,2000,81,QN27,East Elmhurst,21183,QN0302
Queens,2000,81,QN28,Jackson Heights,113327,QN0301
Queens,2000,81,QN29,Elmhurst,87972,QN0401
Queens,2000,81,QN30,Maspeth,28916,QN0501
Queens,2000,81,QN31,Hunters Point-Sunnyside-West Maspeth,61947,QN0202
Queens,2000,81,QN33,Cambria Heights,20944,QN1304
Queens,2000,81,QN34,Queens Village,57704,QN1303
Queens,2000,81,QN35,Briarwood-Jamaica Hills,38675,QN0805
Queens,2000,81,QN37,Kew Gardens Hills,36052,QN0801
Queens,2000,81,QN38,Pomonok-Flushing Heights-Hillcrest,31734,BK0201
Queens,2000,81,QN41,Fresh Meadows-Utopia,17373,QN0803
Queens,2000,81,QN42,Oakland Gardens,27873,QN1104
Queens,2000,81,QN43,Bellerose,24464,QN1302
Queens,2000,81,QN44,Glen Oaks-Floral Park-New Hyde Park,22426,QN1301
Queens,2000,81,QN45,Douglas Manor-Douglaston-Little Neck,24356,QN1103
Queens,2000,81,QN46,Bayside-Bayside Hills,44371,QN1102
Queens,2000,81,QN47,Ft. Totten-Bay Terrace-Clearview,22731,QN0703
Queens,2000,81,QN48,Auburndale,20201,QN1101
Queens,2000,81,QN49,Whitestone,31356,QN0702
Queens,2000,81,QN50,Elmhurst-Maspeth,24338,QN0401
